# resolution: 1080,1920
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,496,0,0.3032,0.2572,0.7293,0.9985
1,496,0,0.3028,0.2570,0.7294,0.9983
2,496,0,0.3026,0.2570,0.7296,0.9982
3,496,0,0.3027,0.2572,0.7301,0.9980
4,496,0,0.3028,0.2575,0.7299,0.9977
5,496,0,0.3030,0.2575,0.7301,0.9977
6,496,0,0.3037,0.2572,0.7298,0.9988
7,496,0,0.3038,0.2565,0.7295,0.9992
8,496,0,0.3032,0.2571,0.7296,0.9982
9,496,0,0.3030,0.2573,0.7300,0.9978
10,496,0,0.3029,0.2572,0.7308,0.9978
11,496,0,0.3027,0.2573,0.7311,0.9977
12,496,0,0.3032,0.2576,0.7301,0.9989
13,496,0,0.3037,0.2577,0.7297,0.9994
14,496,0,0.3037,0.2573,0.7291,0.9996
15,496,0,0.3031,0.2571,0.7296,0.9985
16,496,0,0.3034,0.2568,0.7289,0.9992
17,496,0,0.3031,0.2569,0.7292,0.9984
18,496,0,0.3029,0.2567,0.7295,0.9981
19,496,0,0.3035,0.2567,0.7289,0.9990
20,496,0,0.3039,0.2569,0.7284,0.9994
21,496,0,0.3038,0.2565,0.7275,0.9996
22,496,0,0.3041,0.2569,0.7270,0.9996
23,496,0,0.3041,0.2571,0.7263,0.9996
24,496,0,0.3041,0.2575,0.7263,0.9995
25,496,0,0.3043,0.2572,0.7259,0.9995
26,496,0,0.3046,0.2570,0.7256,0.9994
27,496,0,0.3045,0.2570,0.7249,0.9995
28,496,0,0.3042,0.2570,0.7244,0.9995
29,496,0,0.3044,0.2570,0.7240,0.9996
30,496,0,0.3044,0.2576,0.7238,0.9995
31,496,0,0.3041,0.2578,0.7242,0.9987
32,496,0,0.3041,0.2581,0.7242,0.9992
33,496,0,0.3045,0.2579,0.7243,0.9994
34,496,0,0.3050,0.2573,0.7243,0.9994
35,496,0,0.3051,0.2569,0.7241,0.9995
36,496,0,0.3052,0.2571,0.7241,0.9995
37,496,0,0.3054,0.2578,0.7242,0.9995
38,496,0,0.3053,0.2585,0.7245,0.9996
39,496,0,0.3053,0.2586,0.7248,0.9996
40,496,0,0.3053,0.2577,0.7249,0.9995
41,496,0,0.3053,0.2578,0.7249,0.9995
42,496,0,0.3051,0.2573,0.7249,0.9995
43,496,0,0.3046,0.2573,0.7256,0.9986
44,496,0,0.3051,0.2579,0.7252,0.9992
45,496,0,0.3048,0.2579,0.7261,0.9984
46,496,0,0.3046,0.2577,0.7261,0.9982
