# resolution: 1080,1920
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,3478,0,0.0047,0.2831,0.1364,0.7205
1,3478,0,0.0046,0.2859,0.1392,0.7295
1,3476,0,0.7253,0.3237,1.0000,0.7490
2,3478,0,0.0035,0.2815,0.1487,0.7297
2,3476,0,0.7439,0.3421,1.0000,0.7638
3,3478,0,0.0028,0.2804,0.1659,0.7352
3,3476,0,0.7452,0.3449,1.0000,0.7672
4,3478,0,0.0019,0.2817,0.1926,0.7416
4,3476,0,0.7466,0.3452,1.0000,0.7679
5,3478,0,0.0019,0.2817,0.2197,0.7435
5,3476,0,0.7440,0.3458,1.0000,0.7689
6,3478,0,0.0015,0.2802,0.2450,0.7419
6,3476,0,0.7440,0.3472,1.0000,0.7687
7,3478,0,0.0011,0.2796,0.2649,0.7408
7,3476,0,0.7442,0.3459,1.0000,0.7681
8,3478,0,0.0009,0.2799,0.2832,0.7405
8,3476,0,0.7436,0.3452,1.0000,0.7685
9,3478,0,0.0007,0.2804,0.2949,0.7400
9,3476,0,0.7439,0.3448,1.0000,0.7684
10,3478,0,0.0009,0.2810,0.3011,0.7388
10,3476,0,0.7426,0.3448,1.0000,0.7681
11,3478,0,0.0002,0.2817,0.3017,0.7384
11,3476,0,0.7404,0.3437,1.0000,0.7675
12,3478,0,0.0007,0.2825,0.3022,0.7375
12,3476,0,0.7377,0.3432,1.0000,0.7710
13,3478,0,0.0017,0.2832,0.3007,0.7369
13,3476,0,0.7376,0.3423,0.9990,0.7685
14,3478,0,0.0031,0.2835,0.3007,0.7363
14,3476,0,0.7427,0.3413,0.9772,0.7646
15,3478,0,0.0026,0.2834,0.3045,0.7363
15,3476,0,0.7456,0.3401,0.9503,0.7631
16,3478,0,0.0016,0.2824,0.3060,0.7360
16,3476,0,0.7351,0.3404,0.9378,0.7638
17,3478,0,0.0012,0.2825,0.3060,0.7358
17,3476,0,0.7169,0.3410,0.9277,0.7647
18,3478,0,0.0016,0.2823,0.3049,0.7352
18,3476,0,0.6820,0.3414,0.9155,0.7658
19,3478,0,0.0018,0.2822,0.3045,0.7347
19,3476,0,0.6427,0.3415,0.9084,0.7645
20,3478,0,0.0026,0.2823,0.3127,0.7353
20,3476,0,0.6064,0.3423,0.9105,0.7642
21,3478,0,0.0023,0.2816,0.3263,0.7344
21,3476,0,0.5797,0.3443,0.9246,0.7639
22,3478,0,0.0022,0.2814,0.3388,0.7335
22,3476,0,0.5652,0.3444,0.9123,0.7633
23,3478,0,0.0032,0.2815,0.3485,0.7325
23,3476,0,0.5588,0.3446,0.8870,0.7635
24,3478,0,0.0032,0.2812,0.3607,0.7318
24,3476,0,0.5534,0.3448,0.8829,0.7626
25,3478,0,0.0065,0.2809,0.3700,0.7310
25,3476,0,0.5505,0.3462,0.8755,0.7618
26,3478,0,0.0189,0.2799,0.3749,0.7313
26,3476,0,0.5488,0.3458,0.8660,0.7622
27,3478,0,0.0329,0.2802,0.3813,0.7312
27,3476,0,0.5502,0.3451,0.8558,0.7611
28,3478,0,0.0538,0.2800,0.3873,0.7327
28,3476,0,0.5517,0.3437,0.8469,0.7611
29,3478,0,0.0730,0.2792,0.3915,0.7346
29,3476,0,0.5526,0.3423,0.8401,0.7603
30,3478,0,0.0908,0.2793,0.3929,0.7372
30,3476,0,0.5540,0.3413,0.8380,0.7592
31,3478,0,0.1076,0.2794,0.3926,0.7395
31,3476,0,0.5537,0.3417,0.8337,0.7588
32,3478,0,0.1188,0.2795,0.3901,0.7404
32,3476,0,0.5525,0.3423,0.8211,0.7577
33,3478,0,0.1243,0.2798,0.3889,0.7408
33,3476,0,0.5506,0.3414,0.8075,0.7550
34,3478,0,0.1253,0.2801,0.3877,0.7417
34,3476,0,0.5466,0.3415,0.7896,0.7504
35,3478,0,0.1248,0.2802,0.3855,0.7423
35,3476,0,0.5461,0.3404,0.7741,0.7457
36,3478,0,0.1235,0.2800,0.3844,0.7424
36,3476,0,0.5435,0.3415,0.7458,0.7452
37,3478,0,0.1223,0.2797,0.3852,0.7425
37,3476,0,0.5346,0.3403,0.7294,0.7440
38,3478,0,0.1199,0.2792,0.3863,0.7432
38,3476,0,0.5309,0.3399,0.7184,0.7431
39,3478,0,0.1179,0.2793,0.3869,0.7435
39,3476,0,0.5255,0.3406,0.7115,0.7423
40,3478,0,0.1154,0.2789,0.3879,0.7440
40,3476,0,0.5045,0.3407,0.7069,0.7421
41,3478,0,0.1128,0.2785,0.3878,0.7443
41,3476,0,0.4835,0.3412,0.7038,0.7416
42,3478,0,0.1106,0.2785,0.3885,0.7449
42,3476,0,0.4635,0.3402,0.6988,0.7409
43,3478,0,0.1077,0.2786,0.3892,0.7453
43,3476,0,0.4438,0.3396,0.7003,0.7409
44,3478,0,0.1063,0.2786,0.3909,0.7453
44,3476,0,0.4263,0.3391,0.6957,0.7407
45,3478,0,0.1053,0.2782,0.3931,0.7455
45,3476,0,0.4150,0.3382,0.6917,0.7407
46,3478,0,0.1052,0.2782,0.3979,0.7452
46,3476,0,0.4084,0.3391,0.6993,0.7420
47,3478,0,0.1051,0.2775,0.4034,0.7457
47,3476,0,0.4045,0.3407,0.7026,0.7439
48,3478,0,0.1045,0.2762,0.4075,0.7455
48,3476,0,0.3998,0.3421,0.6983,0.7465
49,3478,0,0.1036,0.2751,0.4097,0.7453
49,3476,0,0.3953,0.3428,0.7000,0.7479
50,3478,0,0.1021,0.2746,0.4082,0.7456
50,3476,0,0.3923,0.3423,0.6959,0.7486
51,3478,0,0.1002,0.2741,0.4047,0.7459
51,3476,0,0.3915,0.3413,0.6912,0.7491
52,3478,0,0.0992,0.2737,0.4011,0.7455
52,3476,0,0.3904,0.3395,0.6895,0.7494
53,3478,0,0.0974,0.2740,0.3965,0.7450
53,3476,0,0.3914,0.3379,0.6851,0.7492
54,3478,0,0.0960,0.2736,0.3900,0.7446
54,3476,0,0.3910,0.3363,0.6791,0.7495
55,3478,0,0.0939,0.2737,0.3827,0.7439
55,3476,0,0.3918,0.3365,0.6712,0.7493
56,3478,0,0.0906,0.2739,0.3722,0.7429
56,3476,0,0.3932,0.3371,0.6664,0.7491
57,3478,0,0.0885,0.2739,0.3621,0.7421
57,3476,0,0.3930,0.3383,0.6609,0.7487
58,3478,0,0.0869,0.2737,0.3540,0.7419
58,3476,0,0.3925,0.3391,0.6543,0.7487
59,3478,0,0.0851,0.2736,0.3444,0.7417
59,3476,0,0.3936,0.3378,0.6477,0.7485
60,3478,0,0.0821,0.2733,0.3371,0.7425
60,3476,0,0.3951,0.3366,0.6432,0.7485
61,3478,0,0.0815,0.2734,0.3311,0.7415
61,3476,0,0.3958,0.3359,0.6378,0.7482
62,3478,0,0.0803,0.2738,0.3230,0.7409
62,3476,0,0.3948,0.3350,0.6309,0.7483
63,3478,0,0.0795,0.2738,0.3186,0.7398
63,3476,0,0.3940,0.3337,0.6251,0.7486
64,3478,0,0.0782,0.2739,0.3182,0.7396
64,3476,0,0.3834,0.3336,0.6235,0.7479
65,3478,0,0.0756,0.2746,0.3174,0.7407
65,3476,0,0.3667,0.3333,0.6218,0.7481
66,3478,0,0.0755,0.2743,0.3148,0.7402
66,3476,0,0.3699,0.3332,0.6204,0.7484
67,3478,0,0.0745,0.2745,0.3106,0.7411
67,3476,0,0.3349,0.3337,0.6182,0.7482
68,3478,0,0.0737,0.2758,0.3103,0.7409
68,3476,0,0.3122,0.3352,0.6188,0.7478
69,3478,0,0.0736,0.2755,0.3073,0.7404
69,3476,0,0.2955,0.3362,0.6173,0.7473
70,3478,0,0.0742,0.2754,0.3044,0.7399
70,3476,0,0.2838,0.3368,0.6150,0.7473
71,3478,0,0.0745,0.2757,0.3055,0.7406
71,3476,0,0.2767,0.3367,0.6160,0.7474
72,3478,0,0.0750,0.2761,0.3035,0.7407
72,3476,0,0.2743,0.3368,0.6168,0.7475
73,3478,0,0.0755,0.2759,0.2988,0.7405
73,3476,0,0.2696,0.3343,0.6196,0.7482
74,3478,0,0.0756,0.2759,0.2980,0.7403
74,3476,0,0.2681,0.3332,0.6174,0.7493
