# resolution: 1080,1920
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,524,0,0.1186,0.1935,0.7045,0.7023
1,524,0,0.0737,0.1923,0.7094,0.7178
2,524,0,0.0536,0.1905,0.7200,0.7234
3,524,0,0.0464,0.1915,0.7266,0.7254
4,524,0,0.0444,0.1909,0.7308,0.7260
5,524,0,0.0443,0.1903,0.7173,0.7263
6,524,0,0.0439,0.1892,0.7161,0.7262
7,524,0,0.0429,0.1882,0.7102,0.7261
8,524,0,0.0446,0.1892,0.7058,0.7258
9,524,0,0.0455,0.1893,0.6993,0.7257
10,524,0,0.0465,0.1890,0.7003,0.7254
11,524,0,0.0476,0.1879,0.7039,0.7251
12,524,0,0.0478,0.1876,0.7074,0.7248
13,524,0,0.0492,0.1874,0.7116,0.7247
14,524,0,0.0492,0.1875,0.7117,0.7246
15,524,0,0.0490,0.1876,0.7074,0.7244
16,524,0,0.0495,0.1876,0.7098,0.7246
17,524,0,0.0504,0.1879,0.7105,0.7245
18,524,0,0.0509,0.1882,0.7124,0.7242
19,524,0,0.0515,0.1884,0.7206,0.7240
20,524,0,0.0516,0.1885,0.7211,0.7238
21,524,0,0.0521,0.1887,0.7159,0.7238
22,524,0,0.0525,0.1889,0.7162,0.7238
23,524,0,0.0531,0.1892,0.7178,0.7238
24,524,0,0.0535,0.1888,0.7169,0.7238
25,524,0,0.0540,0.1887,0.7169,0.7237
26,524,0,0.0546,0.1891,0.7161,0.7237
27,524,0,0.0547,0.1903,0.7174,0.7235
28,524,0,0.0547,0.1908,0.7151,0.7235
29,524,0,0.0541,0.1914,0.7080,0.7236
30,524,0,0.0540,0.1916,0.7048,0.7237
31,524,0,0.0540,0.1920,0.7070,0.7237
32,524,0,0.0541,0.1922,0.7106,0.7236
33,524,0,0.0546,0.1924,0.7073,0.7236
34,524,0,0.0547,0.1925,0.7051,0.7236
35,524,0,0.0548,0.1924,0.7037,0.7235
36,524,0,0.0552,0.1922,0.7124,0.7232
37,524,0,0.0555,0.1925,0.7138,0.7232
38,524,0,0.0553,0.1923,0.7160,0.7230
39,524,0,0.0556,0.1918,0.7188,0.7229
40,524,0,0.0552,0.1920,0.7203,0.7227
41,524,0,0.0550,0.1920,0.7258,0.7228
42,524,0,0.0547,0.1913,0.7256,0.7229
43,524,0,0.0548,0.1912,0.7227,0.7231
44,524,0,0.0553,0.1916,0.7129,0.7231
45,524,0,0.0558,0.1909,0.7060,0.7234
46,524,0,0.0547,0.1898,0.7176,0.7232
47,524,0,0.0538,0.1886,0.7132,0.7233
48,524,0,0.0537,0.1889,0.7199,0.7233
49,524,0,0.0539,0.1893,0.7198,0.7232
50,524,0,0.0540,0.1885,0.7214,0.7232
51,524,0,0.0539,0.1887,0.7173,0.7231
52,524,0,0.0540,0.1887,0.7154,0.7230
53,524,0,0.0539,0.1890,0.7121,0.7231
54,524,0,0.0552,0.1887,0.7063,0.7232
55,524,0,0.0557,0.1881,0.7107,0.7233
56,524,0,0.0538,0.1873,0.7195,0.7235
57,524,0,0.0530,0.1865,0.7241,0.7237
58,524,0,0.0527,0.1866,0.7197,0.7239
59,524,0,0.0520,0.1865,0.7177,0.7239
60,524,0,0.0519,0.1859,0.7173,0.7239
61,524,0,0.0522,0.1858,0.7170,0.7240
62,524,0,0.0524,0.1858,0.7195,0.7241
63,524,0,0.0526,0.1855,0.7220,0.7242
64,524,0,0.0519,0.1855,0.7217,0.7242
65,524,0,0.0522,0.1861,0.7220,0.7245
66,524,0,0.0522,0.1864,0.7196,0.7247
67,524,0,0.0522,0.1868,0.7220,0.7244
68,524,0,0.0522,0.1874,0.7198,0.7242
69,524,0,0.0519,0.1882,0.7119,0.7240
70,524,0,0.0518,0.1884,0.7066,0.7240
71,524,0,0.0523,0.1882,0.7082,0.7239
72,524,0,0.0526,0.1883,0.7083,0.7238
73,524,0,0.0538,0.1881,0.7077,0.7238
74,524,0,0.0531,0.1884,0.7114,0.7237
75,524,0,0.0526,0.1882,0.7148,0.7236
76,524,0,0.0530,0.1880,0.7197,0.7236
77,524,0,0.0530,0.1877,0.7246,0.7239
78,524,0,0.0538,0.1878,0.7288,0.7242
79,524,0,0.0553,0.1882,0.7295,0.7240
80,524,0,0.0548,0.1881,0.7302,0.7240
81,524,0,0.0540,0.1879,0.7278,0.7244
82,524,0,0.0533,0.1873,0.7248,0.7245
83,524,0,0.0550,0.1872,0.7162,0.7246
84,524,0,0.0561,0.1868,0.7130,0.7242
85,524,0,0.0553,0.1861,0.7096,0.7241
86,524,0,0.0586,0.1859,0.7091,0.7244
87,524,0,0.0582,0.1860,0.7122,0.7241
88,524,0,0.0583,0.1860,0.7205,0.7240
89,524,0,0.0580,0.1854,0.7217,0.7238
90,524,0,0.0560,0.1850,0.7164,0.7239
91,524,0,0.0562,0.1843,0.7242,0.7238
92,524,0,0.0562,0.1839,0.7261,0.7238
93,524,0,0.0557,0.1841,0.7214,0.7238
94,524,0,0.0554,0.1833,0.7262,0.7237
95,524,0,0.0550,0.1830,0.7225,0.7238
96,524,0,0.0556,0.1826,0.7230,0.7239
97,524,0,0.0556,0.1825,0.7249,0.7241
98,524,0,0.0562,0.1827,0.7245,0.7243
99,524,0,0.0569,0.1822,0.7197,0.7244
100,524,0,0.0565,0.1814,0.7191,0.7243
101,524,0,0.0551,0.1814,0.7192,0.7243
102,524,0,0.0535,0.1806,0.7164,0.7244
103,524,0,0.0530,0.1802,0.7130,0.7244
104,524,0,0.0525,0.1791,0.7141,0.7244
105,524,0,0.0526,0.1789,0.7138,0.7241
106,524,0,0.0527,0.1786,0.7157,0.7240
107,524,0,0.0528,0.1785,0.7164,0.7242
108,524,0,0.0529,0.1783,0.7179,0.7242
109,524,0,0.0532,0.1781,0.7212,0.7241
110,524,0,0.0535,0.1780,0.7235,0.7241
111,524,0,0.0536,0.1781,0.7256,0.7241
112,524,0,0.0538,0.1782,0.7239,0.7239
113,524,0,0.0535,0.1781,0.7224,0.7240
114,524,0,0.0532,0.1780,0.7226,0.7240
115,524,0,0.0537,0.1779,0.7235,0.7241
116,524,0,0.0523,0.1777,0.7268,0.7243
117,524,0,0.0515,0.1776,0.7267,0.7243
118,524,0,0.0509,0.1779,0.7249,0.7243
119,524,0,0.0506,0.1781,0.7254,0.7242
120,524,0,0.0508,0.1779,0.7258,0.7241
121,524,0,0.0511,0.1781,0.7271,0.7242
122,524,0,0.0513,0.1781,0.7268,0.7243
123,524,0,0.0507,0.1778,0.7267,0.7245
124,524,0,0.0507,0.1779,0.7244,0.7246
125,524,0,0.0510,0.1780,0.7203,0.7247
126,524,0,0.0513,0.1783,0.7175,0.7245
127,524,0,0.0521,0.1784,0.7153,0.7244
128,524,0,0.0536,0.1784,0.7103,0.7250
129,524,0,0.0556,0.1784,0.7157,0.7252
130,524,0,0.0576,0.1785,0.7167,0.7253
131,524,0,0.0593,0.1785,0.7159,0.7256
132,524,0,0.0588,0.1788,0.7176,0.7255
133,524,0,0.0569,0.1793,0.7172,0.7254
134,524,0,0.0557,0.1793,0.7184,0.7252
135,524,0,0.0555,0.1792,0.7203,0.7253
136,524,0,0.0550,0.1787,0.7229,0.7256
137,524,0,0.0552,0.1785,0.7224,0.7256
138,524,0,0.0550,0.1791,0.7162,0.7255
139,524,0,0.0546,0.1796,0.7093,0.7255
140,524,0,0.0538,0.1806,0.7133,0.7254
141,524,0,0.0537,0.1813,0.7186,0.7252
142,524,0,0.0552,0.1818,0.7192,0.7251
143,524,0,0.0540,0.1819,0.7209,0.7250
144,524,0,0.0534,0.1818,0.7196,0.7250
145,524,0,0.0529,0.1816,0.7195,0.7250
146,524,0,0.0530,0.1821,0.7227,0.7247
147,524,0,0.0531,0.1820,0.7202,0.7249
148,524,0,0.0539,0.1815,0.7166,0.7249
149,524,0,0.0534,0.1807,0.7216,0.7250
150,524,0,0.0533,0.1800,0.7282,0.7251
151,524,0,0.0537,0.1795,0.7299,0.7250
152,524,0,0.0532,0.1791,0.7284,0.7247
153,524,0,0.0524,0.1782,0.7266,0.7245
154,524,0,0.0522,0.1785,0.7269,0.7245
155,524,0,0.0525,0.1788,0.7281,0.7245
156,524,0,0.0535,0.1788,0.7260,0.7245
157,524,0,0.0542,0.1784,0.7229,0.7245
158,524,0,0.0544,0.1788,0.7212,0.7248
159,524,0,0.0535,0.1787,0.7201,0.7248
160,524,0,0.0535,0.1785,0.7255,0.7249
161,524,0,0.0536,0.1793,0.7225,0.7252
162,524,0,0.0531,0.1786,0.7223,0.7250
163,524,0,0.0529,0.1782,0.7254,0.7247
164,524,0,0.0531,0.1783,0.7226,0.7250
165,524,0,0.0535,0.1790,0.7293,0.7253
166,524,0,0.0539,0.1790,0.7341,0.7255
167,524,0,0.0563,0.1803,0.7355,0.7257
168,524,0,0.0568,0.1811,0.7373,0.7256
169,524,0,0.0551,0.1798,0.7359,0.7256
170,524,0,0.0537,0.1807,0.7372,0.7253
171,524,0,0.0528,0.1802,0.7386,0.7251
172,524,0,0.0529,0.1804,0.7404,0.7250
173,524,0,0.0530,0.1799,0.7407,0.7251
174,524,0,0.0532,0.1798,0.7405,0.7253
175,524,0,0.0523,0.1800,0.7389,0.7250
176,524,0,0.0545,0.1798,0.7380,0.7252
177,524,0,0.0542,0.1793,0.7386,0.7253
178,524,0,0.0549,0.1794,0.7395,0.7253
179,524,0,0.0562,0.1805,0.7387,0.7245
180,524,0,0.0557,0.1805,0.7410,0.7251
181,524,0,0.0543,0.1797,0.7419,0.7255
182,524,0,0.0532,0.1794,0.7410,0.7256
183,524,0,0.0525,0.1801,0.7399,0.7257
184,524,0,0.0544,0.1801,0.7399,0.7259
185,524,0,0.0552,0.1799,0.7410,0.7259
186,524,0,0.0542,0.1802,0.7407,0.7258
187,524,0,0.0527,0.1799,0.7388,0.7264
188,524,0,0.0523,0.1794,0.7374,0.7268
189,524,0,0.0524,0.1792,0.7363,0.7272
190,524,0,0.0524,0.1787,0.7335,0.7275
191,524,0,0.0535,0.1784,0.7334,0.7273
192,524,0,0.0547,0.1785,0.7322,0.7274
193,524,0,0.0544,0.1781,0.7325,0.7273
194,524,0,0.0532,0.1780,0.7339,0.7272
195,524,0,0.0514,0.1781,0.7328,0.7273
196,524,0,0.0504,0.1779,0.7321,0.7274
197,524,0,0.0489,0.1778,0.7309,0.7273
198,524,0,0.0480,0.1777,0.7300,0.7272
199,524,0,0.0483,0.1777,0.7307,0.7275
200,524,0,0.0488,0.1776,0.7289,0.7278
201,524,0,0.0491,0.1779,0.7272,0.7277
202,524,0,0.0493,0.1783,0.7269,0.7277
203,524,0,0.0494,0.1786,0.7263,0.7278
204,524,0,0.0494,0.1787,0.7290,0.7281
205,524,0,0.0494,0.1785,0.7315,0.7283
206,524,0,0.0491,0.1786,0.7316,0.7284
207,524,0,0.0482,0.1787,0.7332,0.7285
208,524,0,0.0481,0.1783,0.7331,0.7286
209,524,0,0.0483,0.1783,0.7343,0.7287
210,524,0,0.0481,0.1784,0.7343,0.7287
211,524,0,0.0479,0.1785,0.7334,0.7285
212,524,0,0.0477,0.1787,0.7340,0.7286
213,524,0,0.0481,0.1784,0.7342,0.7286
214,524,0,0.0488,0.1784,0.7350,0.7287
215,524,0,0.0494,0.1786,0.7352,0.7285
216,524,0,0.0498,0.1784,0.7359,0.7285
217,524,0,0.0508,0.1781,0.7349,0.7284
218,524,0,0.0510,0.1782,0.7348,0.7285
219,524,0,0.0504,0.1783,0.7349,0.7285
220,524,0,0.0499,0.1783,0.7346,0.7283
221,524,0,0.0502,0.1784,0.7324,0.7283
222,524,0,0.0511,0.1785,0.7310,0.7285
223,524,0,0.0501,0.1785,0.7311,0.7287
224,524,0,0.0498,0.1786,0.7308,0.7284
225,524,0,0.0503,0.1785,0.7303,0.7282
226,524,0,0.0505,0.1788,0.7293,0.7285
227,524,0,0.0505,0.1788,0.7270,0.7289
228,524,0,0.0505,0.1783,0.7271,0.7292
229,524,0,0.0508,0.1784,0.7271,0.7292
230,524,0,0.0509,0.1781,0.7266,0.7294
231,524,0,0.0515,0.1783,0.7203,0.7293
232,524,0,0.0511,0.1782,0.7186,0.7293
233,524,0,0.0508,0.1787,0.7243,0.7294
234,524,0,0.0504,0.1786,0.7270,0.7297
235,524,0,0.0501,0.1783,0.7281,0.7297
236,524,0,0.0502,0.1786,0.7284,0.7299
237,524,0,0.0503,0.1787,0.7256,0.7303
238,524,0,0.0504,0.1790,0.7232,0.7303
239,524,0,0.0507,0.1787,0.7278,0.7302
240,524,0,0.0506,0.1786,0.7296,0.7302
241,524,0,0.0507,0.1786,0.7253,0.7301
242,524,0,0.0506,0.1793,0.7198,0.7301
243,524,0,0.0509,0.1797,0.7220,0.7301
244,524,0,0.0507,0.1795,0.7299,0.7302
245,524,0,0.0511,0.1788,0.7329,0.7301
246,524,0,0.0514,0.1796,0.7351,0.7298
247,524,0,0.0513,0.1803,0.7331,0.7298
248,524,0,0.0506,0.1813,0.7338,0.7295
249,524,0,0.0506,0.1822,0.7360,0.7294
250,524,0,0.0511,0.1822,0.7362,0.7294
251,524,0,0.0514,0.1809,0.7385,0.7294
