# resolution: 1080,1920
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,1640,0,0.2796,0.1531,0.6869,0.8053
1,1640,0,0.3029,0.1526,0.6709,0.8286
2,1640,0,0.3102,0.1519,0.6665,0.8371
3,1640,0,0.3126,0.1514,0.6650,0.8401
4,1640,0,0.3139,0.1514,0.6637,0.8415
5,1640,0,0.3141,0.1511,0.6639,0.8418
6,1640,0,0.3141,0.1510,0.6634,0.8418
7,1640,0,0.3139,0.1511,0.6630,0.8415
8,1640,0,0.3139,0.1511,0.6634,0.8414
9,1640,0,0.3130,0.1509,0.6639,0.8404
10,1640,0,0.3131,0.1513,0.6622,0.8402
11,1640,0,0.3132,0.1514,0.6613,0.8400
12,1640,0,0.3132,0.1514,0.6605,0.8397
13,1640,0,0.3132,0.1516,0.6602,0.8394
14,1640,0,0.3129,0.1518,0.6605,0.8394
15,1640,0,0.3125,0.1517,0.6609,0.8393
16,1640,0,0.3121,0.1516,0.6609,0.8390
17,1640,0,0.3120,0.1513,0.6608,0.8388
18,1640,0,0.3116,0.1517,0.6605,0.8390
19,1640,0,0.3112,0.1511,0.6609,0.8390
20,1640,0,0.3111,0.1508,0.6615,0.8392
21,1640,0,0.3110,0.1505,0.6619,0.8394
22,1640,0,0.3111,0.1506,0.6616,0.8393
23,1640,0,0.3112,0.1506,0.6616,0.8390
24,1640,0,0.3111,0.1504,0.6611,0.8388
25,1640,0,0.3107,0.1512,0.6603,0.8384
26,1640,0,0.3105,0.1514,0.6600,0.8381
27,1640,0,0.3101,0.1517,0.6594,0.8381
28,1640,0,0.3096,0.1515,0.6594,0.8381
29,1640,0,0.3093,0.1513,0.6597,0.8382
30,1640,0,0.3090,0.1514,0.6602,0.8383
31,1640,0,0.3087,0.1514,0.6602,0.8380
32,1640,0,0.3084,0.1519,0.6590,0.8379
33,1640,0,0.3082,0.1519,0.6582,0.8378
34,1640,0,0.3077,0.1516,0.6576,0.8380
35,1640,0,0.3078,0.1513,0.6578,0.8381
36,1640,0,0.3071,0.1511,0.6582,0.8379
37,1640,0,0.3058,0.1508,0.6585,0.8377
38,1640,0,0.3052,0.1510,0.6597,0.8376
39,1640,0,0.3043,0.1508,0.6605,0.8373
40,1640,0,0.3036,0.1508,0.6616,0.8369
41,1640,0,0.3025,0.1512,0.6619,0.8367
42,1640,0,0.3022,0.1514,0.6623,0.8370
43,1640,0,0.3005,0.1516,0.6625,0.8371
44,1640,0,0.2989,0.1513,0.6627,0.8367
45,1640,0,0.2997,0.1507,0.6634,0.8372
46,1640,0,0.2992,0.1505,0.6638,0.8374
47,1640,0,0.2980,0.1501,0.6636,0.8376
48,1640,0,0.2972,0.1507,0.6632,0.8375
49,1640,0,0.2936,0.1485,0.6635,0.8383
50,1640,0,0.2916,0.1475,0.6633,0.8388
51,1640,0,0.2909,0.1471,0.6627,0.8389
52,1640,0,0.2916,0.1469,0.6626,0.8380
53,1640,0,0.2913,0.1465,0.6617,0.8392
54,1640,0,0.2918,0.1462,0.6608,0.8402
55,1640,0,0.2937,0.1490,0.6608,0.8384
56,1640,0,0.2952,0.1502,0.6600,0.8374
57,1640,0,0.2962,0.1505,0.6587,0.8371
58,1640,0,0.2977,0.1506,0.6572,0.8372
59,1640,0,0.2996,0.1505,0.6551,0.8372
60,1640,0,0.3015,0.1505,0.6542,0.8372
61,1640,0,0.3041,0.1508,0.6532,0.8368
62,1640,0,0.3047,0.1488,0.6462,0.8356
63,1640,0,0.3055,0.1482,0.6441,0.8350
64,1640,0,0.3066,0.1475,0.6438,0.8348
65,1640,0,0.3077,0.1498,0.6486,0.8355
66,1640,0,0.3079,0.1509,0.6515,0.8357
67,1640,0,0.3079,0.1510,0.6527,0.8358
68,1640,0,0.3082,0.1513,0.6539,0.8357
69,1640,0,0.3079,0.1516,0.6554,0.8356
70,1640,0,0.3077,0.1516,0.6558,0.8356
