# resolution: 1920,1080
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,870,0,0.7519,0.1043,0.8825,0.7426
1,870,0,0.7576,0.1035,0.8855,0.7423
2,870,0,0.7630,0.1038,0.8894,0.7421
3,870,0,0.7669,0.1031,0.8889,0.7428
4,870,0,0.7709,0.1040,0.8962,0.7434
5,870,0,0.7752,0.1031,0.8987,0.7447
6,870,0,0.7781,0.1026,0.9055,0.7432
7,870,0,0.7812,0.1020,0.9180,0.7422
8,870,0,0.7832,0.1015,0.9308,0.7422
9,870,0,0.7854,0.1008,0.9414,0.7421
10,870,0,0.7866,0.1004,0.9498,0.7421
11,870,0,0.7871,0.1002,0.9555,0.7430
12,870,0,0.7870,0.1001,0.9582,0.7445
13,870,0,0.7870,0.0997,0.9566,0.7482
14,870,0,0.7871,0.0991,0.9519,0.7529
15,870,0,0.7867,0.0986,0.9508,0.7544
16,870,0,0.7865,0.0958,0.9499,0.7544
17,870,0,0.7876,0.0942,0.9514,0.7540
18,870,0,0.7886,0.0912,0.9504,0.7538
19,870,0,0.7913,0.0905,0.9546,0.7531
20,870,0,0.7960,0.0892,0.9576,0.7527
21,870,0,0.8001,0.0882,0.9588,0.7527
22,870,0,0.8044,0.0873,0.9586,0.7536
23,870,0,0.8099,0.0859,0.9575,0.7540
24,870,0,0.8168,0.0854,0.9559,0.7534
25,870,0,0.8231,0.0850,0.9539,0.7524
26,870,0,0.8263,0.0841,0.9534,0.7521
27,870,0,0.8277,0.0836,0.9551,0.7523
28,870,0,0.8291,0.0828,0.9574,0.7531
29,870,0,0.8298,0.0822,0.9590,0.7535
30,870,0,0.8297,0.0819,0.9609,0.7534
31,870,0,0.8297,0.0807,0.9624,0.7525
32,870,0,0.8292,0.0798,0.9635,0.7525
33,870,0,0.8281,0.0793,0.9642,0.7529
34,870,0,0.8256,0.0791,0.9638,0.7526
35,870,0,0.8226,0.0798,0.9629,0.7515
36,870,0,0.8180,0.0806,0.9609,0.7510
37,870,0,0.8155,0.0818,0.9581,0.7517
38,870,0,0.8142,0.0829,0.9553,0.7518
39,870,0,0.8142,0.0834,0.9520,0.7510
40,870,0,0.8135,0.0842,0.9489,0.7502
41,870,0,0.8134,0.0853,0.9470,0.7522
42,870,0,0.8129,0.0865,0.9454,0.7527
43,870,0,0.8124,0.0881,0.9453,0.7543
44,870,0,0.8126,0.0895,0.9472,0.7547
45,870,0,0.8071,0.0907,0.9486,0.7543
46,870,0,0.8073,0.0919,0.9465,0.7540
47,870,0,0.8076,0.0921,0.9408,0.7531
48,870,0,0.8045,0.0922,0.9339,0.7528
49,870,0,0.7961,0.0926,0.9292,0.7556
50,870,0,0.7912,0.0912,0.9237,0.7568
51,870,0,0.7840,0.0910,0.9168,0.7561
52,870,0,0.7848,0.0923,0.9081,0.7555
53,870,0,0.7838,0.0933,0.8979,0.7575
54,870,0,0.7829,0.0929,0.8921,0.7602
55,870,0,0.7789,0.0928,0.8873,0.7601
56,870,0,0.7642,0.0937,0.8832,0.7594
57,870,0,0.7613,0.0956,0.8805,0.7574
58,870,0,0.7534,0.0975,0.8782,0.7540
59,870,0,0.7464,0.0976,0.8766,0.7504
60,870,0,0.7351,0.0982,0.8758,0.7473
61,870,0,0.7269,0.1000,0.8755,0.7446
62,870,0,0.7209,0.1012,0.8750,0.7447
63,870,0,0.7161,0.1022,0.8744,0.7450
64,870,0,0.7118,0.1032,0.8738,0.7455
65,870,0,0.7095,0.1040,0.8730,0.7459
66,870,0,0.7055,0.1056,0.8728,0.7471
67,870,0,0.6975,0.1044,0.8717,0.7471
68,870,0,0.6916,0.1032,0.8694,0.7468
69,870,0,0.6879,0.1027,0.8659,0.7458
70,870,0,0.6840,0.1019,0.8587,0.7458
71,870,0,0.6800,0.1016,0.8511,0.7472
72,870,0,0.6762,0.1016,0.8427,0.7474
73,870,0,0.6726,0.1009,0.8330,0.7462
74,870,0,0.6705,0.1010,0.8218,0.7478
75,870,0,0.6670,0.1012,0.8104,0.7472
76,870,0,0.6631,0.1020,0.7973,0.7467
77,870,0,0.6595,0.1019,0.7877,0.7470
78,870,0,0.6578,0.1024,0.7828,0.7491
79,870,0,0.6540,0.1024,0.7796,0.7479
80,870,0,0.6489,0.1029,0.7764,0.7476
81,870,0,0.6452,0.1042,0.7731,0.7471
82,870,0,0.6420,0.1077,0.7707,0.7488
83,870,0,0.6369,0.1094,0.7682,0.7486
84,870,0,0.6290,0.1112,0.7672,0.7470
85,870,0,0.6211,0.1120,0.7666,0.7475
86,870,0,0.6133,0.1149,0.7666,0.7467
87,870,0,0.6097,0.1168,0.7671,0.7467
88,870,0,0.6075,0.1188,0.7669,0.7463
89,870,0,0.6045,0.1184,0.7677,0.7450
90,870,0,0.6026,0.1192,0.7675,0.7445
91,870,0,0.6002,0.1201,0.7666,0.7450
92,870,0,0.5973,0.1208,0.7651,0.7454
93,870,0,0.5933,0.1216,0.7626,0.7455
94,870,0,0.5886,0.1236,0.7587,0.7463
95,870,0,0.5841,0.1238,0.7509,0.7457
96,870,0,0.5808,0.1202,0.7425,0.7430
97,870,0,0.5775,0.1180,0.7325,0.7407
