# resolution: 1080,1920
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,1267,0,0.4268,0.2581,0.7339,0.7141
1,1267,0,0.4381,0.2789,0.7339,0.6722
2,1267,0,0.4401,0.2845,0.7330,0.6592
3,1267,0,0.4375,0.2858,0.7313,0.6555
4,1267,0,0.4356,0.2854,0.7302,0.6540
5,1267,0,0.4318,0.2843,0.7302,0.6542
6,1267,0,0.4273,0.2830,0.7314,0.6575
7,1267,0,0.4263,0.2820,0.7324,0.6614
8,1267,0,0.4245,0.2813,0.7344,0.6664
9,1267,0,0.4234,0.2810,0.7363,0.6693
10,1267,0,0.4237,0.2807,0.7386,0.6711
11,1267,0,0.4210,0.2811,0.7406,0.6716
12,1267,0,0.4210,0.2808,0.7446,0.6747
13,1267,0,0.4208,0.2808,0.7482,0.6777
14,1267,0,0.4203,0.2803,0.7505,0.6826
15,1267,0,0.4199,0.2799,0.7544,0.6856
16,1267,0,0.4217,0.2782,0.7578,0.6865
17,1267,0,0.4239,0.2759,0.7617,0.6876
18,1267,0,0.4282,0.2725,0.7657,0.6884
19,1267,0,0.4319,0.2705,0.7688,0.6875
20,1267,0,0.4335,0.2693,0.7731,0.6874
21,1267,0,0.4355,0.2676,0.7778,0.6880
22,1267,0,0.4370,0.2663,0.7826,0.6883
23,1267,0,0.4382,0.2647,0.7855,0.6887
24,1267,0,0.4392,0.2631,0.7873,0.6885
25,1267,0,0.4406,0.2613,0.7889,0.6885
26,1267,0,0.4414,0.2596,0.7911,0.6889
27,1267,0,0.4431,0.2585,0.7926,0.6907
28,1267,0,0.4449,0.2578,0.7939,0.6946
29,1267,0,0.4481,0.2573,0.7950,0.6995
30,1267,0,0.4488,0.2572,0.7965,0.7029
31,1267,0,0.4488,0.2572,0.7975,0.7042
32,1267,0,0.4499,0.2574,0.7980,0.7089
33,1267,0,0.4491,0.2570,0.7984,0.7116
34,1267,0,0.4489,0.2566,0.7971,0.7161
35,1267,0,0.4468,0.2549,0.7962,0.7187
36,1267,0,0.4446,0.2517,0.7961,0.7200
37,1267,0,0.4423,0.2473,0.7953,0.7209
38,1267,0,0.4402,0.2444,0.7951,0.7213
39,1267,0,0.4363,0.2419,0.7945,0.7214
40,1267,0,0.4313,0.2404,0.7950,0.7208
41,1267,0,0.4234,0.2388,0.7952,0.7207
42,1267,0,0.4157,0.2373,0.7954,0.7206
43,1267,0,0.4072,0.2356,0.7952,0.7201
44,1267,0,0.4003,0.2345,0.7975,0.7198
45,1267,0,0.3941,0.2338,0.7990,0.7215
46,1267,0,0.3897,0.2332,0.8021,0.7274
47,1267,0,0.3861,0.2328,0.8045,0.7354
