# resolution: 1080,1920
frame,track_id,class,x1_norm,y1_norm,x2_norm,y2_norm
0,-1,0,0.0275,0.3025,0.3685,0.7433
1,2351,0,0.0213,0.3044,0.4140,0.7435
2,2351,0,0.0295,0.3071,0.4334,0.7437
3,2351,0,0.0342,0.3078,0.4217,0.7430
4,2351,0,0.0416,0.3071,0.4300,0.7435
5,2351,0,0.0512,0.3091,0.4344,0.7450
6,2351,0,0.0588,0.3068,0.4430,0.7464
7,2351,0,0.0749,0.3052,0.4464,0.7484
8,2351,0,0.0908,0.3031,0.4470,0.7491
9,2351,0,0.1101,0.3039,0.4494,0.7488
10,2351,0,0.1269,0.3050,0.4545,0.7480
11,2351,0,0.1548,0.3035,0.4609,0.7476
12,2351,0,0.1685,0.3034,0.4729,0.7488
13,2351,0,0.1892,0.3020,0.4911,0.7479
14,2351,0,0.2090,0.3010,0.5220,0.7521
15,2351,0,0.2336,0.2997,0.5574,0.7564
16,2351,0,0.2549,0.2988,0.5917,0.7589
17,2351,0,0.2790,0.2974,0.6240,0.7564
18,2351,0,0.2971,0.2987,0.6526,0.7547
19,2351,0,0.3163,0.2974,0.6792,0.7524
20,2351,0,0.3297,0.2959,0.6947,0.7492
21,2351,0,0.3378,0.2951,0.7135,0.7512
22,2351,0,0.3395,0.2966,0.7252,0.7532
23,2351,0,0.3418,0.2959,0.7325,0.7529
24,2351,0,0.3441,0.2933,0.7348,0.7528
25,2351,0,0.3487,0.2908,0.7274,0.7522
26,2351,0,0.3599,0.2876,0.7219,0.7517
27,2351,0,0.3758,0.2873,0.7219,0.7524
28,2351,0,0.3975,0.2870,0.7323,0.7527
29,2351,0,0.4247,0.2856,0.7418,0.7528
30,2351,0,0.4599,0.2843,0.7564,0.7534
31,2351,0,0.4891,0.2826,0.7658,0.7533
32,2351,0,0.5154,0.2839,0.7769,0.7543
33,2351,0,0.5479,0.2836,0.7878,0.7551
34,2351,0,0.5711,0.2829,0.7985,0.7555
35,2351,0,0.5940,0.2817,0.8084,0.7559
36,2351,0,0.6006,0.2837,0.8274,0.7559
38,2351,0,0.6126,0.2878,0.9079,0.7534
39,2351,0,0.6159,0.2898,0.9294,0.7535
40,2351,0,0.6173,0.2910,0.9537,0.7555
41,2351,0,0.6180,0.2915,0.9785,0.7554
42,2351,0,0.6198,0.2915,0.9959,0.7556
43,2351,0,0.6211,0.2907,1.0000,0.7541
44,2351,0,0.6289,0.2897,1.0000,0.7532
45,2351,0,0.6370,0.2919,1.0000,0.7533
47,2351,0,0.6733,0.2911,1.0000,0.7539
48,2351,0,0.7159,0.3053,1.0000,0.7261
49,2351,0,0.7257,0.3102,1.0000,0.7147
50,2351,0,0.7250,0.3119,1.0000,0.7106
51,2351,0,0.7235,0.3128,0.9837,0.7072
52,2351,0,0.7196,0.3121,0.9581,0.7061
53,2351,0,0.7071,0.3096,0.9221,0.7069
