pts,frame_type,source,confidence,cx,cy,w,h
0,I,DET,0.92,3.6721999999999997,4.4107,3.3585999999999996,5.166
512,B,PROP,0.92,3.651135185185185,4.417,3.3585999999999996,5.166
1024,B,PROP,0.92,3.599283333333333,4.416088541666666,3.3585999999999996,5.166
1536,P,PROP,0.92,3.568496296296296,4.417,3.3585999999999996,5.166
2048,B,PROP,0.92,3.5522925925925923,4.417,3.3585999999999996,5.166
2560,B,PROP,0.92,3.524746296296296,4.412442708333333,3.3585999999999996,5.166
3072,P,PROP,0.92,3.5004407407407405,4.406062499999999,3.3585999999999996,5.166
3584,B,PROP,0.92,3.4259037037037037,4.401505208333332,3.3585999999999996,5.166
4096,B,PROP,0.92,3.317338888888889,4.401505208333332,3.3585999999999996,5.166
4608,P,PROP,0.92,3.221737037037037,4.417,3.3585999999999996,5.166
5120,B,PROP,0.92,3.156922222222222,4.417,3.3585999999999996,5.166
5632,B,PROP,0.92,3.156922222222222,4.417,3.3585999999999996,5.166
6144,P,PROP,0.92,3.165024074074074,4.417,3.3585999999999996,5.166
6656,B,PROP,0.92,3.161783333333333,4.417,3.3585999999999996,5.166
7168,B,PROP,0.92,3.143959259259259,4.417,3.3585999999999996,5.166
7680,P,PROP,0.92,3.113172222222222,4.417,3.3585999999999996,5.166
8192,B,PROP,0.92,3.01757037037037,4.409708333333334,3.3585999999999996,5.166
8704,B,PROP,0.92,2.968959259259259,4.408796875,3.3585999999999996,5.166
9216,P,PROP,0.92,3.1326166666666664,4.403328125,3.3585999999999996,5.166
9728,B,PROP,0.92,3.3529870370370367,4.413354166666666,3.3585999999999996,5.166
10240,B,PROP,0.92,3.597662962962963,4.416088541666666,3.3585999999999996,5.166
10752,P,PROP,0.92,3.722431481481481,4.409708333333333,3.3585999999999996,5.166
11264,B,PROP,0.92,3.730533333333333,4.4069739583333325,3.3585999999999996,5.166
11776,B,PROP,0.92,3.701366666666666,4.417,3.3585999999999996,5.166
12288,P,PROP,0.92,3.6462740740740736,4.398770833333333,3.3585999999999996,5.166
12800,B,PROP,0.92,3.5814592592592587,4.386921875,3.3585999999999996,5.166
13312,B,PROP,0.92,3.526366666666666,4.369604166666666,3.3585999999999996,5.166
13824,P,PROP,0.92,3.446968518518518,4.344083333333333,3.3585999999999996,5.166
14336,B,PROP,0.92,3.3967370370370364,4.354109374999999,3.3585999999999996,5.166
14848,B,PROP,0.92,3.390255555555555,4.355020833333333,3.3585999999999996,5.166
15360,I,DET,0.92,3.9101999999999997,4.4275,4.1048,5.117
15872,B,PROP,0.92,3.99932037037037,4.426588541666667,4.1048,5.117
16384,B,PROP,0.92,4.078718518518518,4.425677083333333,4.1048,5.117
16896,P,PROP,0.92,4.140292592592592,4.425677083333333,4.1048,5.117
17408,B,PROP,0.92,4.162977777777778,4.4275,4.1048,5.117
17920,B,PROP,0.92,4.162977777777778,4.428411458333334,4.1048,5.117
18432,P,PROP,0.92,4.12732962962963,4.429322916666667,4.1048,5.117
18944,B,PROP,0.92,4.070616666666667,4.426588541666667,4.1048,5.117
19456,B,PROP,0.92,4.009042592592593,4.4275,4.1048,5.117
19968,P,PROP,0.92,3.939366666666667,4.4384375,4.1048,5.117
20480,B,PROP,0.92,3.8664500000000004,4.440260416666667,4.1048,5.117
20992,B,PROP,0.92,3.7676074074074077,4.4347916666666665,4.1048,5.117
21504,P,PROP,0.92,3.68982962962963,4.422942708333333,4.1048,5.117
22016,B,PROP,0.92,3.6477000000000004,4.414739583333334,4.1048,5.117
22528,B,PROP,0.92,3.641218518518519,4.414739583333334,4.1048,5.117
23040,P,PROP,0.92,3.623394444444445,4.42203125,4.1048,5.117
23552,B,PROP,0.92,3.6136722222222226,4.4028906249999995,4.1048,5.117
24064,B,PROP,0.92,3.610431481481482,4.376458333333333,4.1048,5.117
24576,P,PROP,0.92,3.597468518518519,4.355494791666667,4.1048,5.117
25088,B,PROP,0.92,3.686588888888889,4.338177083333333,4.1048,5.117
25600,B,PROP,0.92,3.751403703703704,4.324505208333333,4.1048,5.117
26112,P,PROP,0.92,3.6412185185185186,4.319036458333333,4.1048,5.117
26624,B,PROP,0.92,3.5926074074074075,4.318124999999999,4.1048,5.117
27136,B,PROP,0.92,3.6412185185185186,4.321770833333333,4.1048,5.117
27648,P,PROP,0.92,3.5828851851851855,4.328151041666667,4.1048,5.117
28160,B,PROP,0.92,3.5520981481481484,4.340911458333333,4.1048,5.117
28672,B,PROP,0.92,3.5391351851851853,4.353671875,4.1048,5.117
29184,P,PROP,0.92,3.495385185185185,4.440260416666667,4.1048,5.117
29696,B,PROP,0.92,3.4791814814814814,4.4415,4.1048,5.117
