pts,frame_type,source,confidence,cx,cy,w,h
1536,P,PROP,0.92,3.0794555555555556,3.7566229166666667,1.0346,2.0944000000000007
3072,P,PROP,0.92,3.0616314814814816,3.7548,1.0346,2.0944000000000007
4608,P,PROP,0.92,3.0519092592592596,3.751154166666667,1.0346,2.0944000000000007
6144,P,PROP,0.92,3.038946296296297,3.7557114583333338,1.0346,2.0944000000000007
7680,P,PROP,0.92,3.0243629629629636,3.748419791666667,1.0346,2.0944000000000007
9216,P,PROP,0.92,2.9951962962962972,3.736570833333334,1.0346,2.0944000000000007
10752,P,PROP,0.92,2.9951962962962972,3.722898958333334,1.0346,2.0944000000000007
12288,P,PROP,0.92,2.983853703703705,3.7256333333333336,1.0346,2.0944000000000007
13824,P,PROP,0.92,2.956307407407409,3.7438625,1.0346,2.0944000000000007
16896,P,PROP,0.92,3.0820351851851857,3.777571874999999,1.3636,2.254
18432,P,PROP,0.92,3.0771740740740747,3.764811458333333,1.3636,2.254
19968,P,PROP,0.92,3.059350000000001,3.7338218749999994,1.3636,2.254
21504,P,PROP,0.92,3.038285185185187,3.7119468749999998,1.3636,2.254
23040,P,PROP,0.92,3.0042574074074087,3.706478125,1.3636,2.254
24576,P,PROP,0.92,2.975090740740742,3.717415625,1.3636,2.254
26112,P,PROP,0.92,2.9378222222222234,3.7283531250000004,1.3636,2.254
27648,P,PROP,0.92,2.9232388888888905,3.7429364583333338,1.3636,2.254
29184,P,PROP,0.92,2.910275925925928,3.7019208333333338,1.3636,2.254
32256,P,PROP,0.92,3.321733333333333,3.7880354166666663,1.5799000000000005,2.7034
33792,P,PROP,0.92,3.35252037037037,3.776186458333333,1.5799000000000005,2.7034
35328,P,PROP,0.92,3.3800666666666666,3.795327083333333,1.5799000000000005,2.7034
36864,P,PROP,0.92,3.404372222222222,3.8089989583333326,1.5799000000000005,2.7034
38400,P,PROP,0.92,3.4238166666666663,3.8326968749999994,1.5799000000000005,2.7034
39936,P,PROP,0.92,3.4254370370370366,3.794415624999999,1.5799000000000005,2.7034
41472,P,PROP,0.92,3.401131481481481,3.763426041666666,1.5799000000000005,2.7034
43008,P,PROP,0.92,3.3622425925925916,3.7123843749999996,1.5799000000000005,2.7034
44544,P,PROP,0.92,3.316872222222221,3.703269791666666,1.5799000000000005,2.7034
47616,P,PROP,0.92,3.3167166666666668,3.9783552083333333,1.9949999999999999,3.4859999999999998
