pts,frame_type,source,confidence,cx,cy,w,h
512,B,PROP,0.92,3.187514814814815,3.783915625,0.9723000000000002,2.1231
1024,B,PROP,0.92,3.223162962962963,3.780269791666667,0.9723000000000002,2.1231
2048,B,PROP,0.92,3.2685333333333335,3.785738541666667,0.9723000000000002,2.1231
2560,B,PROP,0.92,3.300940740740741,4.215035416666667,0.9723000000000002,2.1231
3584,B,PROP,0.92,3.2814962962962966,3.7875614583333337,0.9723000000000002,2.1231
4096,B,PROP,0.92,3.29607962962963,3.793941666666667,0.9723000000000002,2.1231
5120,B,PROP,0.92,3.3025611111111113,3.802144791666667,0.9723000000000002,2.1231
5632,B,PROP,0.92,3.3025611111111113,3.7957645833333338,0.9723000000000002,2.1231
6656,B,PROP,0.92,3.3220055555555557,3.7839156250000006,0.9723000000000002,2.1231
7168,B,PROP,0.92,3.3382092592592594,3.783004166666667,0.9723000000000002,2.1231
8192,B,PROP,0.92,3.3479314814814813,3.7820927083333338,0.9723000000000002,2.1231
8704,B,PROP,0.92,3.346311111111111,3.7820927083333338,0.9723000000000002,2.1231
9728,B,PROP,0.92,3.3187648148148146,3.773889583333334,0.9723000000000002,2.1231
10240,B,PROP,0.92,3.304181481481481,3.771155208333334,0.9723000000000002,2.1231
11264,B,PROP,0.92,3.2766351851851847,3.7665979166666674,0.9723000000000002,2.1231
11776,B,PROP,0.92,3.268533333333333,3.7638635416666673,0.9723000000000002,2.1231
12800,B,PROP,0.92,3.2490888888888882,3.7511031250000006,0.9723000000000002,2.1231
13312,B,PROP,0.92,3.2377462962962955,3.7474572916666675,0.9723000000000002,2.1231
14336,B,PROP,0.92,3.218301851851851,3.7474572916666675,0.9723000000000002,2.1231
14848,B,PROP,0.92,3.2101999999999995,3.7501916666666677,0.9723000000000002,2.1231
15872,B,PROP,0.92,3.1333296296296296,3.828861458333334,1.1276999999999997,2.1763
16384,B,PROP,0.92,3.130088888888889,3.828861458333334,1.1276999999999997,2.1763
17408,B,PROP,0.92,3.1219870370370373,3.8343302083333337,1.1276999999999997,2.1763
17920,B,PROP,0.92,3.1138851851851856,3.8416218750000004,1.1276999999999997,2.1763
18944,B,PROP,0.92,3.105783333333334,3.858939583333334,1.1276999999999997,2.1763
19456,B,PROP,0.92,3.0814777777777786,3.856205208333334,1.1276999999999997,2.1763
20480,B,PROP,0.92,3.04258888888889,3.8361531250000005,1.1276999999999997,2.1763
20992,B,PROP,0.92,3.029625925925927,3.8279500000000004,1.1276999999999997,2.1763
22016,B,PROP,0.92,3.0134222222222236,3.813366666666667,1.1276999999999997,2.1763
22528,B,PROP,0.92,3.003700000000001,3.805163541666667,1.1276999999999997,2.1763
23552,B,PROP,0.92,2.985875925925927,3.799694791666667,1.1276999999999997,2.1763
24064,B,PROP,0.92,2.968051851851853,3.802429166666667,1.1276999999999997,2.1763
25088,B,PROP,0.92,2.9291629629629643,3.815189583333334,1.1276999999999997,2.1763
25600,B,PROP,0.92,2.9080981481481496,3.816101041666667,1.1276999999999997,2.1763
26624,B,PROP,0.92,2.880551851851853,3.8142781250000004,1.1276999999999997,2.1763
27136,B,PROP,0.92,2.875690740740742,3.8224812500000005,1.1276999999999997,2.1763
28160,B,PROP,0.92,2.862727777777779,3.8334187500000003,1.1276999999999997,2.1763
28672,B,PROP,0.92,2.8594870370370384,3.829772916666667,1.1276999999999997,2.1763
29696,B,PROP,0.92,2.8594870370370384,3.805163541666667,1.1276999999999997,2.1763
30208,B,PROP,0.92,2.856246296296298,3.801517708333334,1.1276999999999997,2.1763
31232,B,PROP,0.92,3.4431314814814815,3.8407395833333333,1.4049000000000003,2.6109999999999998
31744,B,PROP,0.92,3.4479925925925925,3.8352708333333334,1.4049000000000003,2.6109999999999998
32768,B,PROP,0.92,3.462575925925926,3.8006354166666667,1.4049000000000003,2.6109999999999998
33280,B,PROP,0.92,3.4804,3.7842291666666665,1.4049000000000003,2.6109999999999998
34304,B,PROP,0.92,3.503085185185185,3.783317708333333,1.4049000000000003,2.6109999999999998
34816,B,PROP,0.92,3.520909259259259,3.7878749999999997,1.4049000000000003,2.6109999999999998
35840,B,PROP,0.92,3.5484555555555555,3.802458333333333,1.4049000000000003,2.6109999999999998
36352,B,PROP,0.92,3.5614185185185185,3.810661458333333,1.4049000000000003,2.6109999999999998
37376,B,PROP,0.92,3.5841037037037036,3.8261562499999995,1.4049000000000003,2.6109999999999998
37888,B,PROP,0.92,3.593825925925926,3.838916666666666,1.4049000000000003,2.6109999999999998
38912,B,PROP,0.92,3.619751851851852,3.8416510416666663,1.4049000000000003,2.6109999999999998
39424,B,PROP,0.92,3.6294740740740745,3.8343593749999996,1.4049000000000003,2.6109999999999998
40448,B,PROP,0.92,3.640816666666667,3.8143072916666663,1.4049000000000003,2.6109999999999998
40960,B,PROP,0.92,3.642437037037037,3.8015468749999997,1.4049000000000003,2.6109999999999998
41984,B,PROP,0.92,3.6489185185185185,3.7732916666666663,1.4049000000000003,2.6109999999999998
42496,B,PROP,0.92,3.647298148148148,3.761442708333333,1.4049000000000003,2.6109999999999998
43520,B,PROP,0.92,3.6489185185185185,3.7213385416666664,1.4049000000000003,2.6109999999999998
44032,B,PROP,0.92,3.6489185185185185,3.7231614583333332,1.4049000000000003,2.6109999999999998
45056,B,PROP,0.92,3.6375759259259257,3.734098958333333,1.4049000000000003,2.6109999999999998
45568,B,PROP,0.92,3.6197518518518517,3.739567708333333,1.4049000000000003,2.6109999999999998
46592,B,PROP,0.92,3.228387037037037,3.9646614583333335,1.7395000000000005,3.2865
47104,B,PROP,0.92,3.2138037037037037,3.9683072916666666,1.7395000000000005,3.2865
48128,B,PROP,0.92,3.1992203703703703,3.9774218749999997,1.7395000000000005,3.2865
48640,B,PROP,0.92,3.1992203703703703,3.986536458333333,1.7395000000000005,3.2865
49664,B,PROP,0.92,3.2105629629629626,3.961927083333333,1.7395000000000005,3.2865
50176,B,PROP,0.92,3.212183333333333,3.940963541666666,1.7395000000000005,3.2865
51200,B,PROP,0.92,3.212183333333333,3.928203124999999,1.7395000000000005,3.2865
51712,B,PROP,0.92,3.2316277777777773,3.9072395833333324,1.7395000000000005,3.2865
52736,B,PROP,0.92,3.2721370370370364,3.8489062499999993,1.7395000000000005,3.2865
53248,B,PROP,0.92,3.2915814814814808,3.8297656249999994,1.7395000000000005,3.2865
54272,B,PROP,0.92,3.3304703703703695,3.8279427083333326,1.7395000000000005,3.2865
54784,B,PROP,0.92,3.354775925925925,3.830677083333333,1.7395000000000005,3.2865
55808,B,PROP,0.92,3.411488888888888,3.845260416666666,1.7395000000000005,3.2865
56320,B,PROP,0.92,3.432553703703703,3.8479947916666664,1.7395000000000005,3.2865
57344,B,PROP,0.92,3.4908870370370364,3.8616666666666664,1.7395000000000005,3.2865
57856,B,PROP,0.92,3.5151925925925918,3.874427083333333,1.7395000000000005,3.2865
58880,B,PROP,0.92,3.533016666666666,3.8972135416666664,1.7395000000000005,3.2865
59392,B,PROP,0.92,3.5411185185185174,3.898125,1.7395000000000005,3.2865
60416,B,PROP,0.92,3.555701851851851,3.8716927083333332,1.7395000000000005,3.2865
60928,B,PROP,0.92,3.562183333333332,3.8534635416666667,1.7395000000000005,3.2865
61952,B,PROP,0.92,2.905038888888889,4.058782291666667,2.3450000000000006,4.118799999999999
62464,B,PROP,0.92,2.8904555555555556,4.053313541666666,2.3450000000000006,4.118799999999999
63488,B,PROP,0.92,2.871011111111111,4.0287041666666665,2.3450000000000006,4.118799999999999
64000,B,PROP,0.92,2.8596685185185184,4.012297916666666,2.3450000000000006,4.118799999999999
65024,B,PROP,0.92,2.8175388888888886,3.9712822916666664,2.3450000000000006,4.118799999999999
65536,B,PROP,0.92,2.7997148148148145,3.9630791666666663,2.3450000000000006,4.118799999999999
66560,B,PROP,0.92,2.77865,3.9794854166666664,2.3450000000000006,4.118799999999999
67072,B,PROP,0.92,2.755964814814815,3.9886,2.3450000000000006,4.118799999999999
68096,B,PROP,0.92,2.7203166666666667,3.998626041666667,2.3450000000000006,4.118799999999999
68608,B,PROP,0.92,2.7008722222222223,3.9977145833333334,2.3450000000000006,4.118799999999999
69632,B,PROP,0.92,2.660362962962963,4.008652083333333,2.3450000000000006,4.118799999999999
70144,B,PROP,0.92,2.6538814814814815,4.031438541666666,2.3450000000000006,4.118799999999999
71168,B,PROP,0.92,2.6344370370370367,3.984954166666666,2.3450000000000006,4.118799999999999
71680,B,PROP,0.92,2.626335185185185,3.963990624999999,2.3450000000000006,4.118799999999999
72704,B,PROP,0.92,2.5825851851851853,3.9001885416666657,2.3450000000000006,4.118799999999999
73216,B,PROP,0.92,2.5436962962962966,3.879224999999999,2.3450000000000006,4.118799999999999
74240,B,PROP,0.92,2.444853703703704,3.843678124999999,2.3450000000000006,4.118799999999999
74752,B,PROP,0.92,2.3897611111111114,3.8482354166666655,2.3450000000000006,4.118799999999999
75776,B,PROP,0.92,2.3119833333333335,3.850969791666665,2.3450000000000006,4.118799999999999
76288,B,PROP,0.92,2.2763351851851854,3.8409437499999983,2.3450000000000006,4.118799999999999
77312,B,PROP,0.92,3.5827814814814816,4.312291666666666,2.2253000000000003,5.215000000000001
77824,B,PROP,0.92,3.5827814814814816,4.3159374999999995,2.2253000000000003,5.215000000000001
78848,B,PROP,0.92,3.6346333333333334,4.345104166666666,2.2253000000000003,5.215000000000001
79360,B,PROP,0.92,3.671901851851852,4.3615104166666665,2.2253000000000003,5.215000000000001
80384,B,PROP,0.92,3.7545407407407407,4.234817708333333,2.2253000000000003,5.215000000000001
80896,B,PROP,0.92,3.79505,4.311380208333333,2.2253000000000003,5.215000000000001
81920,B,PROP,0.92,3.8695870370370367,4.366979166666666,2.2253000000000003,5.215000000000001
82432,B,PROP,0.92,3.895512962962963,4.376093749999999,2.2253000000000003,5.215000000000001
83456,B,PROP,0.92,3.8906518518518514,4.3925,2.2253000000000003,5.215000000000001
83968,B,PROP,0.92,3.893892592592592,4.38703125,2.2253000000000003,5.215000000000001
84992,B,PROP,0.92,3.8825499999999993,4.38703125,2.2253000000000003,5.215000000000001
85504,B,PROP,0.92,3.8663462962962956,4.3888541666666665,2.2253000000000003,5.215000000000001
86528,B,PROP,0.92,3.882549999999999,4.377005208333333,2.2253000000000003,5.215000000000001
87040,B,PROP,0.92,3.884170370370369,4.385208333333333,2.2253000000000003,5.215000000000001
88064,B,PROP,0.92,3.88903148148148,4.360598958333333,2.2253000000000003,5.215000000000001
88576,B,PROP,0.92,3.897133333333332,4.355130208333333,2.2253000000000003,5.215000000000001
89600,B,PROP,0.92,3.953846296296295,4.3204947916666665,2.2253000000000003,5.215000000000001
90112,B,PROP,0.92,3.9781518518518504,4.309557291666667,2.2253000000000003,5.215000000000001
91136,B,PROP,0.92,4.047827777777776,4.300442708333334,2.2253000000000003,5.215000000000001
