video_name,status,total_frames,i_frames,p_frames,b_frames,propagated_frames,tracking_data,motion_data,error,processing_time
Walking (1),SUCCESS,303,11,90,202,292,C:\Users\newuser\capstone_project\output\Walking (1)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (1)\motion\roi_motion_data.json,,11.08s
Walking (2),SUCCESS,303,11,90,202,292,C:\Users\newuser\capstone_project\output\Walking (2)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (2)\motion\roi_motion_data.json,,12.05s
Walking (3),SUCCESS,298,10,90,198,288,C:\Users\newuser\capstone_project\output\Walking (3)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (3)\motion\roi_motion_data.json,,10.93s
Walking (4),SUCCESS,303,11,90,202,292,C:\Users\newuser\capstone_project\output\Walking (4)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (4)\motion\roi_motion_data.json,,12.30s
Walking (5),SUCCESS,280,10,84,186,270,C:\Users\newuser\capstone_project\output\Walking (5)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (5)\motion\roi_motion_data.json,,10.67s
Walking (6),SUCCESS,372,13,111,248,359,C:\Users\newuser\capstone_project\output\Walking (6)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (6)\motion\roi_motion_data.json,,14.57s
Walking (7),SUCCESS,260,9,78,173,251,C:\Users\newuser\capstone_project\output\Walking (7)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (7)\motion\roi_motion_data.json,,9.31s
Walking (8),SUCCESS,282,10,84,188,272,C:\Users\newuser\capstone_project\output\Walking (8)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (8)\motion\roi_motion_data.json,,12.03s
Walking (9),SUCCESS,274,10,82,182,264,C:\Users\newuser\capstone_project\output\Walking (9)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (9)\motion\roi_motion_data.json,,12.07s
Walking (10),SUCCESS,292,10,88,194,282,C:\Users\newuser\capstone_project\output\Walking (10)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (10)\motion\roi_motion_data.json,,13.54s
Walking (11),SUCCESS,363,13,109,241,350,C:\Users\newuser\capstone_project\output\Walking (11)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (11)\motion\roi_motion_data.json,,23.15s
Walking (12),SUCCESS,304,11,91,202,293,C:\Users\newuser\capstone_project\output\Walking (12)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (12)\motion\roi_motion_data.json,,8.35s
Walking (13),SUCCESS,324,11,97,216,313,C:\Users\newuser\capstone_project\output\Walking (13)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (13)\motion\roi_motion_data.json,,8.68s
Walking (14),SUCCESS,338,12,101,225,326,C:\Users\newuser\capstone_project\output\Walking (14)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (14)\motion\roi_motion_data.json,,9.88s
Walking (15),SUCCESS,324,11,97,216,313,C:\Users\newuser\capstone_project\output\Walking (15)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (15)\motion\roi_motion_data.json,,10.66s
Walking (16),SUCCESS,331,12,99,220,319,C:\Users\newuser\capstone_project\output\Walking (16)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (16)\motion\roi_motion_data.json,,13.96s
Walking (17),SUCCESS,257,9,77,171,248,C:\Users\newuser\capstone_project\output\Walking (17)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (17)\motion\roi_motion_data.json,,4.61s
Walking (18),SUCCESS,253,9,76,168,244,C:\Users\newuser\capstone_project\output\Walking (18)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (18)\motion\roi_motion_data.json,,4.50s
Walking (19),SUCCESS,270,9,81,180,261,C:\Users\newuser\capstone_project\output\Walking (19)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (19)\motion\roi_motion_data.json,,4.94s
Walking (20),SUCCESS,267,9,80,178,258,C:\Users\newuser\capstone_project\output\Walking (20)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (20)\motion\roi_motion_data.json,,4.58s
Walking (21),SUCCESS,120,4,36,80,116,C:\Users\newuser\capstone_project\output\Walking (21)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (21)\motion\roi_motion_data.json,,2.28s
Walking (22),SUCCESS,276,10,82,184,266,C:\Users\newuser\capstone_project\output\Walking (22)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (22)\motion\roi_motion_data.json,,5.00s
Walking (23),SUCCESS,175,7,53,115,168,C:\Users\newuser\capstone_project\output\Walking (23)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (23)\motion\roi_motion_data.json,,4.12s
Walking (24),SUCCESS,242,9,72,161,233,C:\Users\newuser\capstone_project\output\Walking (24)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (24)\motion\roi_motion_data.json,,6.07s
Walking (25),SUCCESS,246,9,74,163,237,C:\Users\newuser\capstone_project\output\Walking (25)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (25)\motion\roi_motion_data.json,,6.35s
Walking (26),SUCCESS,175,6,53,116,169,C:\Users\newuser\capstone_project\output\Walking (26)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (26)\motion\roi_motion_data.json,,4.32s
Walking (27),SUCCESS,178,5,56,117,173,C:\Users\newuser\capstone_project\output\Walking (27)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (27)\motion\roi_motion_data.json,,3.81s
Walking (28),SUCCESS,231,8,70,153,223,C:\Users\newuser\capstone_project\output\Walking (28)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (28)\motion\roi_motion_data.json,,5.17s
Walking (29),SUCCESS,244,9,73,162,235,C:\Users\newuser\capstone_project\output\Walking (29)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (29)\motion\roi_motion_data.json,,6.03s
Walking (30),SUCCESS,179,7,53,119,172,C:\Users\newuser\capstone_project\output\Walking (30)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (30)\motion\roi_motion_data.json,,4.11s
